stop_number,stop_name,x_pos,y_pos,max_capacity,Stop_000,Stop_001,Stop_002,Stop_003,Stop_004,Stop_005,Stop_006,Stop_007,Stop_008,Stop_009,Stop_010,Stop_011,Stop_012,Stop_013,Stop_014,Stop_015,Stop_016,Stop_017,Stop_018,Stop_019,Stop_020,Stop_021,Stop_022,Stop_023,Stop_024,Stop_025,Stop_026,Stop_027,Stop_028,Stop_029,Stop_030,Stop_031,Stop_032,Stop_033,Stop_034,Stop_035,Stop_036,Stop_037,Stop_038,Stop_039,Stop_040,Stop_041,Stop_042,Stop_043,Stop_044,Stop_045,Stop_046,Stop_047,Stop_048,Stop_049,Stop_050,Stop_051,Stop_052,Stop_053,Stop_054,Stop_055,Stop_056,Stop_057,Stop_058,Stop_059,Stop_060,Stop_061,Stop_062,Stop_063,Stop_064,Stop_065,Stop_066,Stop_067,Stop_068,Stop_069,Stop_070,Stop_071,Stop_072,Stop_073,Stop_074,Stop_075,Stop_076,Stop_077,Stop_078,Stop_079,Stop_080,Stop_081,Stop_082,Stop_083,Stop_084,Stop_085,Stop_086,Stop_087,Stop_088,Stop_089,Stop_090,Stop_091,Stop_092,Stop_093,Stop_094,Stop_095,Stop_096,Stop_097,Stop_098,Stop_099,Stop_100,Stop_101,Stop_102,Stop_103,Stop_104,Stop_105,Stop_106,Stop_107,Stop_108,Stop_109,Stop_110,Stop_111,Stop_112,Stop_113,Stop_114,Stop_115,Stop_116,Stop_117,Stop_118,Stop_119,Stop_120,Stop_121,Stop_122,Stop_123,Stop_124,Stop_125,Stop_126,Stop_127,Stop_128,Stop_129,Stop_130,Stop_131,Stop_132,Stop_133,Stop_134,Stop_135,Stop_136,Stop_137,Stop_138,Stop_139,Stop_140,Stop_141,Stop_142,Stop_143,Stop_144,Stop_145,Stop_146,Stop_147,Stop_148,Stop_149,Stop_150,Stop_151,Stop_152,Stop_153,Stop_154,Stop_155,Stop_156,Stop_157,Stop_158,Stop_159,Stop_160,Stop_161,Stop_162,Stop_163,Stop_164,Stop_165,Stop_166,Stop_167,Stop_168,Stop_169,Stop_170,Stop_171,Stop_172,Stop_173,Stop_174,Stop_175,Stop_176,Stop_177,Stop_178,Stop_179,Stop_180,Stop_181,Stop_182,Stop_183,Stop_184,Stop_185,Stop_186,Stop_187,Stop_188,Stop_189,Stop_190,Stop_191,Stop_192,Stop_193,Stop_194,Stop_195,Stop_196,Stop_197,Stop_198,Stop_199,Stop_200,Stop_201,Stop_202,Stop_203,Stop_204,Stop_205,Stop_206,Stop_207,Stop_208,Stop_209,Stop_210,Stop_211,Stop_212,Stop_213,Stop_214,Stop_215,Stop_216,Stop_217,Stop_218,Stop_219,Stop_220,Stop_221,Stop_222,Stop_223,Stop_224,Stop_225,Stop_226,Stop_227,Stop_228,Stop_229,Stop_230,Stop_231,Stop_232,Stop_233,Stop_234,Stop_235,Stop_236,Stop_237,Stop_238,Stop_239,Stop_240,Stop_241,Stop_242,Stop_243,Stop_244,Stop_245,Stop_246,Stop_247,Stop_248,Stop_249,Stop_250,Stop_251,Stop_252,Stop_253,Stop_254,Stop_255,Stop_256,Stop_257,Stop_258,Stop_259,Stop_260,Stop_261,Stop_262,Stop_263,Stop_264,Stop_265,Stop_266,Stop_267,Stop_268,Stop_269,Stop_270,Stop_271,Stop_272,Stop_273,Stop_274,Stop_275,Stop_276,Stop_277,Stop_278,Stop_279,Stop_280,Stop_281,Stop_282,Stop_283,Stop_284,Stop_285,Stop_286,Stop_287,Stop_288,Stop_289,Stop_290,Stop_291,Stop_292,Stop_293,Stop_294,Stop_295,Stop_296,Stop_297,Stop_298,Stop_299
69,Stop_069,28000,1000,1397,7,1,5,6,4,1,2,5,5,5,3,0,3,1,1,1,3,1,1,5,2,4,0,1,4,1,3,2,1,0,0,2,4,2,1,3,2,3,1,0,3,2,1,2,0,1,0,1,1,2,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,2,1,0,2,3,1,0,1,2,0,0,2,3,2,1,3,4,0,1,3,3,2,1,5,1,2,5,4,4,3,5,1,4,6,6,1,5,2,6,6,5,2,3,4,6,6,5,7,2,0,4,8,5,2,1,6,3,8,6,3,6,6,3,7,0,4,7,4,5,2,1,3,9,0,5,6,10,7,4,9,2,8,6,8,1,8,9,1,4,2,4,9,2,9,4,6,8,0,5,11,3,4,5,10,7,10,11,11,1,6,11,13,8,10,13,12,6,7,14,9,10,1,13,0,10,4,13,9,11,1,5,3,13,4,3,1,11,0,6,4,0,11,16,4,5,10,6,10,11,8,9,10,8,3,17,12,16,9,9,3,0,18,10,7,6,14,3,17,1,2,11,15,5,18,11,6,9,11,1,20,5,5,4,2,17,11,8,15,19,6,9,8,6,11,4,4,21,7,7,17,9,13,12
70,Stop_070,28400,1000,1520,12,4,1,6,6,0,4,5,2,3,2,6,2,1,3,2,3,4,2,2,2,3,2,2,3,3,3,3,1,2,2,3,3,3,2,3,2,0,2,0,2,1,2,0,1,0,1,2,2,2,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,2,1,0,1,1,1,2,2,0,2,1,1,2,2,3,2,2,3,1,3,0,3,3,1,2,2,2,4,3,0,2,4,2,1,1,5,4,0,3,4,3,6,2,4,4,4,1,5,6,4,5,4,1,4,3,2,3,3,2,1,3,0,3,1,3,2,1,5,8,0,5,2,8,2,0,8,8,5,0,9,2,6,7,4,2,6,4,1,6,3,0,0,8,3,5,6,3,7,2,10,6,7,0,4,1,8,8,2,3,2,10,8,5,7,13,9,5,13,12,11,11,13,11,13,5,4,11,9,13,11,12,8,7,11,8,9,8,2,8,10,15,14,13,15,1,3,4,14,16,10,0,14,8,10,5,15,5,3,16,5,2,12,16,7,15,14,13,15,8,17,15,15,15,5,8,0,9,12,14,10,16,17,6,13,12,0,17,12,20,3,15,17,0,18,8,5,2,6,18,10,21,3,21,4,1,3,11,9,2,16,6,39
71,Stop_071,28800,1000,1497,3,3,0,4,3,2,3,0,1,2,5,5,3,4,0,3,5,1,1,3,1,0,1,1,4,2,1,3,2,0,3,3,1,2,1,3,3,0,0,0,1,2,2,2,2,0,2,2,1,1,2,1,2,2,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1,0,3,2,1,3,0,3,3,3,2,3,1,3,1,2,1,2,3,2,1,4,3,4,4,4,1,5,0,3,3,1,4,3,2,2,6,2,1,3,2,1,5,4,2,3,2,6,2,5,7,7,3,4,3,7,5,3,6,5,1,5,4,4,8,3,9,4,4,1,3,5,6,8,4,0,9,7,1,5,6,2,9,9,9,0,5,1,10,10,0,6,1,5,12,8,12,1,2,3,5,9,9,10,13,11,7,4,4,4,10,1,8,4,7,9,6,14,0,0,12,3,4,10,14,13,13,5,1,13,12,4,15,2,12,1,8,6,5,13,14,14,16,12,8,6,5,7,12,8,15,13,0,14,15,10,3,14,10,13,17,9,17,7,16,12,11,4,2,14,7,4,17,10,16,2,19,6,1,10,6,2,13,13,9,21,10,11,1,1,11,8,10,4,14,15,17,14,9,17,7,5,20,42
72,Stop_072,29200,1000,1465,13,6,6,1,4,6,6,4,3,3,4,6,3,2,4,0,3,1,2,1,4,2,4,3,3,1,3,1,0,4,1,3,3,0,2,1,1,0,3,1,3,3,0,3,0,3,2,0,2,2,1,2,2,0,2,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,2,1,1,1,2,0,0,1,2,2,3,1,3,2,0,3,3,2,2,1,2,4,2,2,1,0,4,4,5,0,3,5,5,1,3,4,3,2,3,6,4,2,1,6,5,3,6,6,1,6,1,6,3,6,3,7,7,5,7,7,3,0,8,1,3,1,0,4,4,8,1,5,8,3,2,3,9,8,0,1,7,10,7,7,7,10,8,0,1,10,9,7,10,1,10,11,4,8,2,1,5,10,7,8,12,2,9,10,7,6,5,9,7,2,3,9,10,2,6,3,8,4,8,7,10,9,3,0,3,3,14,9,1,6,2,8,13,8,1,10,13,16,13,7,7,9,16,13,4,4,16,5,14,8,3,5,2,9,9,2,17,1,11,14,3,0,1,8,4,14,9,10,13,17,5,12,16,1,5,19,5,18,13,13,5,20,6,10,20,11,8,21,11,17,3,14,1,5,21,2,0,20,7,19,16,22
73,Stop_073,29600,1000,1456,8,4,2,6,5,6,1,2,4,5,2,4,5,2,2,5,0,1,2,0,1,3,2,4,2,2,3,3,4,0,4,2,0,1,1,2,2,3,2,3,3,0,2,2,1,2,3,0,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,2,2,2,1,2,0,1,3,1,2,3,2,3,1,2,1,1,2,2,2,3,0,0,4,3,3,2,1,1,1,3,3,5,3,1,5,2,5,1,1,5,4,0,4,5,6,2,3,6,7,5,4,4,6,0,1,3,3,6,6,5,4,7,8,3,0,2,5,7,7,4,7,5,1,9,4,4,8,8,6,7,3,6,3,5,0,6,0,1,1,7,7,0,7,6,1,1,5,11,11,7,12,2,3,9,1,7,8,11,9,5,8,10,8,11,4,2,13,6,13,9,0,12,10,6,1,2,6,7,11,6,10,11,13,6,1,12,9,9,5,11,1,7,10,2,13,10,3,11,12,9,3,2,9,14,13,5,7,4,4,11,2,18,6,18,11,16,0,7,13,17,17,5,10,5,7,15,14,16,10,8,4,14,10,1,16,4,13,10,17,15,8,21,11,18,17,18,6,10,14,13,10,20,15
74,Stop_074,30000,1000,1498,7,2,5,5,1,2,1,3,5,5,2,5,5,5,2,3,6,5,5,3,1,3,4,0,2,0,4,2,2,4,4,2,3,0,1,0,1,1,2,3,1,1,1,1,1,3,3,1,0,2,2,1,1,0,2,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,2,1,0,2,1,0,2,1,1,1,1,1,2,1,1,2,0,1,0,0,2,1,3,2,2,1,3,1,0,2,1,1,5,2,1,5,5,2,5,3,1,5,3,4,5,4,5,5,6,2,4,1,3,5,6,4,3,4,2,0,4,7,3,4,6,0,5,6,3,1,0,2,6,1,8,9,4,7,6,2,0,4,3,7,1,9,8,4,9,8,1,8,10,6,6,10,7,5,2,8,4,2,3,8,6,12,1,1,7,11,8,1,5,0,7,8,4,9,11,12,1,10,1,12,2,11,2,6,7,6,7,15,4,11,7,9,0,14,9,6,9,6,16,10,3,9,14,16,7,16,14,4,10,15,1,4,7,0,17,8,13,3,14,13,12,6,8,11,8,9,12,6,6,5,9,13,12,9,0,18,5,19,4,12,19,14,6,16,11,11,10,1,10,18,20,2,11,8,8,21,16,8,16,4,3,14,20,14,18,37
75,Stop_075,30400,1000,1399,1,6,4,5,3,6,7,5,3,5,3,0,5,3,4,2,4,1,5,5,3,2,2,4,5,1,1,0,1,4,4,4,1,3,2,4,1,4,3,1,2,3,2,0,1,3,2,2,2,2,0,2,1,1,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,2,0,2,2,2,1,1,2,1,1,2,3,3,1,1,1,3,0,1,1,4,2,2,4,4,3,0,3,2,0,3,5,3,3,4,5,6,4,3,2,5,4,6,5,2,5,5,1,1,7,2,0,3,5,7,6,1,6,6,8,7,7,7,5,5,5,9,0,1,1,7,6,3,7,8,6,2,10,9,4,5,8,7,6,7,7,5,3,8,6,10,0,6,7,11,5,3,7,1,8,12,2,6,2,1,5,4,7,8,2,3,10,3,6,12,6,13,7,3,2,6,5,3,7,3,12,2,9,10,2,6,14,2,2,14,8,5,4,6,12,12,8,14,15,9,12,12,13,9,3,12,12,4,0,16,16,5,15,18,4,5,6,15,6,18,8,11,9,10,11,11,5,3,15,16,11,2,5,0,8,2,8,11,13,16,2,4,13,16,6,5,10,4,2,12,20,12,15,4,3,3,6,12
76,Stop_076,30800,1000,1453,3,7,5,1,2,3,3,2,4,5,6,4,3,1,5,2,2,2,2,1,1,4,1,1,5,4,1,1,2,3,4,3,3,1,0,2,2,4,0,1,0,1,3,1,0,2,1,3,2,3,1,1,2,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,2,2,1,0,1,2,1,2,2,0,1,2,0,0,0,2,3,3,3,1,3,1,0,2,1,3,3,4,1,5,2,1,5,4,4,0,1,5,0,1,3,1,3,3,6,6,4,1,3,1,7,0,7,2,6,5,4,4,6,4,7,6,8,1,4,7,3,8,5,2,4,8,7,7,4,4,6,7,0,9,0,7,4,5,10,2,4,10,7,3,10,6,8,2,7,6,5,8,1,9,3,5,12,11,6,7,0,3,0,8,4,4,10,8,6,12,7,4,1,11,6,10,8,8,1,13,5,3,11,13,6,11,2,3,7,4,5,7,15,8,5,9,6,14,5,14,12,9,1,11,0,2,13,12,15,1,7,4,5,3,4,4,10,6,9,1,16,13,14,14,2,17,14,13,17,4,16,11,19,8,6,5,4,13,15,19,9,14,4,20,6,7,14,19,13,5,8,17,9,6,18,22,6,4,16,21,9
77,Stop_077,31200,1000,1379,5,2,4,6,3,4,5,0,6,5,5,5,2,3,5,2,0,2,6,4,4,6,1,5,3,1,1,4,2,2,2,0,3,3,0,0,2,1,2,3,3,1,3,0,1,1,1,0,1,0,2,2,0,0,1,0,1,1,1,2,1,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2,2,1,2,1,2,2,1,2,2,0,0,0,0,1,2,2,1,3,2,2,0,3,2,2,2,3,4,3,2,0,3,4,2,3,3,4,4,5,3,5,3,3,1,3,3,3,5,3,4,1,7,3,4,1,1,6,6,1,7,4,1,3,1,4,5,4,6,0,6,2,5,9,1,4,8,3,5,6,6,0,10,6,6,2,7,10,10,7,9,5,4,5,0,8,9,9,8,5,3,11,3,7,9,1,4,12,5,6,7,3,13,0,2,5,8,10,6,14,0,2,1,11,9,3,9,5,9,13,3,2,14,13,10,11,14,1,4,4,4,9,5,5,6,10,4,6,15,8,10,9,1,6,3,13,11,15,13,5,18,9,0,0,14,12,7,10,16,10,18,1,9,0,2,14,6,19,18,17,9,12,13,14,2,18,3,11,17,12,8,15,21,12,5,16,2,18,4,4,6,4,16,2
78,Stop_078,31600,1000,1386,10,6,2,3,5,0,4,7,0,0,7,3,5,6,3,4,3,2,4,6,6,2,4,2,2,4,0,3,3,3,3,1,2,1,0,4,1,1,1,0,1,2,1,1,3,2,1,0,1,1,2,0,2,1,2,0,2,2,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,2,1,1,1,0,3,3,1,3,3,2,3,3,0,3,4,2,4,2,4,2,3,2,5,5,2,3,2,3,3,1,3,3,1,5,5,6,5,4,1,0,4,5,1,4,6,5,0,7,3,3,3,8,6,4,8,1,7,4,4,2,3,3,6,5,8,8,8,1,6,4,9,7,7,1,6,3,3,3,9,9,6,1,5,5,6,9,9,3,2,5,9,9,3,11,12,0,8,3,7,3,2,9,6,4,13,2,4,10,7,4,8,4,2,6,1,11,9,4,4,6,15,7,8,13,15,8,1,1,6,6,10,10,8,11,2,3,13,10,7,11,7,0,3,8,10,10,2,18,4,2,18,5,14,4,11,11,13,12,14,10,4,6,18,10,19,13,5,12,6,19,13,5,2,16,7,15,1,6,7,13,16,9,1,10,1,17,1,5,18,4,18,42
79,Stop_079,32000,1000,1381,6,3,8,4,2,1,1,1,6,2,4,0,3,5,6,1,3,4,5,4,2,2,6,2,1,3,5,0,1,1,1,2,3,2,4,2,1,3,2,3,1,2,2,2,1,2,0,3,0,2,1,1,1,1,2,2,2,1,2,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,2,1,0,0,2,1,1,1,1,2,1,1,2,3,3,2,1,0,2,3,1,2,2,2,0,1,0,1,3,0,1,4,3,2,4,2,3,4,3,1,2,5,3,4,5,6,2,6,1,2,4,4,6,7,5,6,7,0,3,2,7,1,3,6,6,0,4,1,0,2,8,0,1,5,1,0,8,3,7,7,6,5,6,10,0,7,1,4,6,6,1,2,11,1,6,9,2,6,6,2,9,6,5,11,2,3,7,7,8,8,6,4,5,10,0,12,2,3,2,1,11,11,5,9,8,10,6,11,13,10,6,3,7,2,3,0,6,4,1,6,1,7,6,2,9,0,10,4,15,11,8,13,11,16,14,5,5,14,5,16,4,17,16,10,11,5,13,5,7,1,9,5,11,1,5,6,14,1,19,0,3,6,7,6,19,17,8,12,5,16,11,11,16,11,1,14,20,15,17,9,21,15,13,21,42
80,Stop_080,32400,1000,1410,6,1,2,3,2,0,6,6,3,3,1,5,5,3,0,4,5,2,1,1,5,4,4,1,2,5,3,4,5,1,4,4,1,3,2,1,4,3,3,1,3,3,3,1,1,1,1,2,0,3,1,1,0,1,2,0,0,2,0,2,2,1,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,2,1,1,2,1,2,1,2,0,0,1,3,2,2,0,1,2,1,2,2,3,1,3,4,3,4,3,4,1,1,3,1,3,4,0,2,0,4,5,1,1,3,5,4,2,3,0,6,6,2,6,2,6,7,2,6,7,4,4,1,4,1,6,4,1,7,7,6,5,2,6,2,4,3,3,0,4,8,7,6,7,4,8,9,10,2,5,7,1,6,10,8,7,6,2,6,0,7,7,8,10,1,10,1,4,7,2,3,7,9,7,3,7,10,3,0,13,6,1,6,12,6,13,5,3,5,6,13,5,11,13,4,10,2,5,15,2,1,13,3,7,12,16,11,8,15,11,9,14,5,16,3,6,15,6,15,14,18,1,12,9,17,5,3,1,15,10,14,14,6,5,6,8,16,17,11,18,18,2,13,6,12,1,3,11,13,10,9,11,16,1,16,19,14,6,12,14,5,4,14,13
81,Stop_081,32800,1000,1290,13,2,4,2,0,3,3,1,3,1,7,3,4,4,2,4,2,1,4,1,1,3,2,4,5,5,5,3,4,4,5,0,4,4,4,1,4,3,4,2,1,0,3,0,0,1,2,2,2,1,1,2,0,2,2,1,1,2,1,2,2,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,1,0,1,1,1,2,1,1,2,1,1,2,1,1,2,1,3,3,2,4,2,2,2,4,2,0,4,1,1,4,0,3,1,2,4,5,2,4,6,5,1,4,1,6,5,0,1,5,3,1,2,5,5,4,1,4,2,3,7,3,4,2,2,3,8,4,1,5,0,9,8,7,2,3,4,1,9,6,8,5,7,8,7,10,4,7,2,2,6,7,3,5,11,5,5,4,1,7,10,5,4,3,9,11,0,10,2,9,7,5,3,6,4,12,6,13,7,2,3,6,7,13,10,8,3,4,2,11,7,1,9,2,6,14,5,2,13,15,12,8,7,5,12,4,7,4,5,0,3,0,11,0,17,11,16,2,14,1,2,6,0,2,4,7,4,11,1,3,3,19,14,16,17,17,12,7,15,3,12,11,2,6,0,2,9,7,0,4,1,20,18,16,15,2,3,17,6,20,15,17
82,Stop_082,33200,1000,1387,3,0,8,2,5,5,7,0,2,4,7,1,6,5,6,3,1,1,4,6,1,6,3,5,2,2,1,1,2,2,2,2,2,0,3,3,4,3,3,4,1,4,1,4,4,3,4,3,2,1,2,1,1,2,1,2,1,2,2,1,2,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,2,1,1,1,2,2,2,2,1,1,3,1,3,1,1,3,3,0,2,0,2,1,2,1,5,2,4,3,0,2,3,2,2,2,1,2,3,5,2,2,2,6,1,4,0,6,5,6,4,3,4,2,1,3,7,1,4,6,6,5,2,6,1,2,3,2,4,7,7,5,5,4,8,3,7,7,1,9,7,5,8,9,10,4,7,5,11,9,8,9,5,8,3,5,5,11,6,3,9,12,5,6,7,5,9,2,3,5,4,10,4,2,7,2,12,11,12,2,4,13,0,7,1,10,7,15,4,6,7,14,12,11,2,3,2,1,9,3,1,7,2,4,17,4,9,8,7,9,2,1,9,1,16,6,14,11,5,6,6,17,16,11,7,2,11,4,2,13,15,9,16,6,18,13,18,4,13,7,18,2,15,6,14,5,13,16,18,3,13,16,19,18,15,24
83,Stop_083,33600,1000,1404,12,3,4,6,2,7,7,4,4,0,7,5,4,6,3,5,3,4,6,5,0,2,5,5,5,6,4,1,2,5,3,4,1,4,3,1,1,3,3,3,2,2,3,1,2,3,2,1,2,0,2,3,3,0,1,3,2,1,1,0,2,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,2,1,2,2,2,2,2,1,1,3,1,1,1,1,2,1,3,2,4,1,4,1,2,0,2,4,2,4,5,4,2,3,1,4,0,5,3,1,3,2,1,2,3,6,4,5,3,1,7,1,2,1,5,7,7,3,2,0,5,7,1,6,3,2,6,3,8,0,8,8,6,0,8,7,9,8,3,7,9,7,2,2,1,10,6,3,2,5,6,2,7,10,11,10,8,5,6,4,5,2,6,0,9,1,11,5,6,8,12,3,9,2,4,10,9,10,9,5,4,1,8,2,6,10,14,1,6,5,14,13,8,9,11,0,5,8,10,1,12,11,4,3,1,1,6,3,14,16,8,6,4,3,7,3,10,15,4,16,6,12,16,4,18,1,3,5,17,6,11,5,2,8,14,3,13,16,18,13,16,11,10,4,7,5,17,4,16,10,2,17,7,11,7,12,10,2,12,43
84,Stop_084,34000,1000,1260,7,1,2,6,0,4,0,2,4,5,4,6,6,0,6,4,2,3,2,1,4,1,0,3,6,5,5,5,2,3,5,0,0,5,1,4,4,5,3,3,3,2,3,1,1,1,3,3,0,3,1,3,1,1,2,1,2,1,1,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,2,2,2,2,2,1,0,0,1,3,0,3,1,1,3,2,2,2,1,1,2,0,0,3,3,1,3,5,0,2,1,3,2,5,1,5,4,1,1,4,2,3,0,5,4,0,6,1,3,5,3,2,3,2,7,5,6,5,2,5,6,1,4,8,7,9,1,0,3,0,1,2,4,3,4,2,6,6,6,3,1,5,5,9,8,0,3,3,10,7,3,5,7,8,11,9,2,5,11,6,7,10,2,8,11,0,12,3,1,8,3,5,0,1,5,1,10,10,9,13,11,1,9,11,2,10,8,10,10,3,7,6,10,12,6,5,10,2,12,10,6,14,6,16,14,2,7,5,2,12,4,6,15,7,3,9,14,7,5,5,13,18,14,18,0,7,6,4,13,0,13,1,4,1,8,2,8,4,8,17,14,9,10,1,3,9,11,12,3,13,20,10,21
85,Stop_085,34400,1000,1330,6,4,4,3,1,0,6,1,5,3,7,2,1,4,6,3,2,3,5,3,4,0,4,3,4,5,1,1,0,2,3,1,1,4,4,2,1,0,1,1,2,4,3,4,0,1,1,4,3,0,2,3,3,2,1,0,0,3,2,2,2,0,0,2,2,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,2,1,2,1,1,2,2,0,0,1,1,2,2,2,1,3,2,3,3,3,2,2,0,1,3,1,2,4,3,3,5,1,1,2,5,0,5,1,3,6,4,2,6,6,2,4,6,2,3,5,1,3,3,4,7,2,1,4,7,6,7,5,2,1,5,4,5,1,1,4,4,2,9,3,0,1,4,0,2,4,7,1,2,10,1,10,6,1,7,7,7,9,10,5,1,9,0,10,4,4,5,5,4,3,0,4,4,2,9,3,8,1,1,11,5,2,11,13,11,2,12,10,7,13,4,7,11,10,0,14,13,11,11,2,6,1,4,3,15,1,11,7,7,4,4,11,3,0,15,10,13,15,12,1,15,6,2,6,17,2,16,16,13,14,17,0,1,10,11,18,12,8,0,17,14,17,14,11,1,9,3,9,9,19,14,1,2,11,18,12,6,8,15,16,11,28
86,Stop_086,34800,1000,1314,15,6,6,6,0,6,8,6,4,1,0,2,3,5,5,6,5,5,1,0,6,1,1,3,4,5,3,5,4,2,1,5,5,1,1,1,1,1,2,3,3,4,1,2,2,3,3,2,1,2,3,3,0,0,1,0,0,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,2,0,1,2,1,2,3,1,2,2,3,0,2,0,1,0,2,4,4,4,4,1,3,3,4,1,5,3,1,1,3,2,5,4,1,0,4,3,6,6,1,3,6,6,1,3,6,3,3,1,3,0,5,3,3,6,1,0,5,2,3,4,5,1,4,1,0,1,5,3,2,9,1,1,5,5,6,3,6,7,4,1,9,6,7,3,7,9,4,3,2,1,0,6,2,11,9,11,8,12,12,12,1,3,4,1,2,9,6,9,4,4,10,14,0,12,8,8,1,14,13,6,13,7,13,4,1,15,7,12,15,11,4,8,3,10,3,6,8,8,3,11,14,16,0,13,9,12,9,13,3,3,12,1,17,16,7,17,3,11,13,18,2,2,7,16,3,5,10,13,9,13,6,4,8,19,2,15,5,20,3,18,11,20,5,2,0,3,14
87,Stop_087,35200,1000,1261,16,6,1,7,7,8,0,5,6,5,1,1,7,3,6,1,1,1,5,7,5,5,2,1,3,0,1,0,6,0,3,3,4,2,1,4,4,4,5,4,0,4,4,4,4,2,3,1,3,2,3,2,3,3,0,3,3,2,1,1,1,1,1,2,1,1,1,2,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,2,1,2,2,1,0,1,0,1,1,2,2,1,1,3,3,2,2,0,1,4,4,3,1,1,3,3,0,1,4,3,3,1,5,5,4,2,5,2,1,5,1,2,5,3,4,5,3,3,4,6,6,0,3,4,1,7,3,4,0,5,2,3,3,6,7,3,8,9,3,3,4,1,1,7,7,3,6,6,7,1,4,3,4,8,3,9,2,0,8,3,7,7,5,5,4,8,8,8,4,9,4,12,4,11,7,8,3,12,3,12,8,3,9,9,6,7,10,9,5,0,12,11,12,10,10,6,10,15,6,4,15,0,12,7,2,0,12,5,2,4,3,1,5,2,3,2,1,10,9,2,4,7,10,0,10,12,8,8,2,0,8,11,5,16,14,2,10,9,10,16,6,6,14,1,6,5,12,6,6,4,1,0,17,7,18,10,0,18,19,16,10,0,3
